"","weighted_mean.X1983si.x_leaf_prism","weighted_mean.X1984si.x_leaf_prism","weighted_mean.X1985si.x_leaf_prism","weighted_mean.X1986si.x_leaf_prism","weighted_mean.X1987si.x_leaf_prism","weighted_mean.X1988si.x_leaf_prism","weighted_mean.X1989si.x_leaf_prism","weighted_mean.X1990si.x_leaf_prism","weighted_mean.X1991si.x_leaf_prism","weighted_mean.X1992si.x_leaf_prism","weighted_mean.X1993si.x_leaf_prism","weighted_mean.X1994si.x_leaf_prism","weighted_mean.X1995si.x_leaf_prism","weighted_mean.X1996si.x_leaf_prism","weighted_mean.X1997si.x_leaf_prism","weighted_mean.X1998si.x_leaf_prism","weighted_mean.X1999si.x_leaf_prism","weighted_mean.X2000si.x_leaf_prism","weighted_mean.X2001si.x_leaf_prism","weighted_mean.X2002si.x_leaf_prism","weighted_mean.X2003si.x_leaf_prism","weighted_mean.X2004si.x_leaf_prism","weighted_mean.X2005si.x_leaf_prism","weighted_mean.X2006si.x_leaf_prism","weighted_mean.X2007si.x_leaf_prism","weighted_mean.X2008si.x_leaf_prism","weighted_mean.X2009si.x_leaf_prism","weighted_mean.X2010si.x_leaf_prism","weighted_mean.X2011si.x_leaf_prism","weighted_mean.X2012si.x_leaf_prism","weighted_mean.X2013si.x_leaf_prism","weighted_mean.X2014si.x_leaf_prism","weighted_mean.X2015si.x_leaf_prism","weighted_mean.X2016si.x_leaf_prism","weighted_mean.X2017si.x_leaf_prism","weighted_mean.X2018si.x_leaf_prism","weighted_mean.X2019si.x_leaf_prism","weighted_mean.X2020si.x_leaf_prism","weighted_mean.X2021si.x_leaf_prism","weighted_mean.X2022si.x_leaf_prism","weighted_mean.X2023_si.x_leaf_ncep_resampled"
" AL_Dale_01045",37.8196105957031,36.8717079162598,36.6007232666016,29.4689846038818,31.9512767791748,31.2523765563965,20.0572891235352,21.3612689971924,32.0072021484375,32.7794380187988,27.1469135284424,34.1913185119629,31.2794895172119,37.05810546875,28.0000019073486,31.9647064208984,23.5592594146729,22.2400703430176,36.060848236084,27.0547313690186,36.1529502868652,32.5734634399414,22.9888248443604,25.0000019073486,30.7978458404541,35.9496726989746,30.600643157959,44.6702156066895,38.1450004577637,24,15,38,33.6511039733887,30.6425399780273,19.0023345947266,37,31.6251449584961,16,25.66481590271,34.5866241455078,23.8980503082275
" AL_Coffee_01031",38.0680732727051,37.386791229248,38.0465621948242,31.3804607391357,32.8398742675781,32.1340065002441,20.5804748535156,21.5797519683838,32.1332168579102,32.9698028564453,27.4441680908203,34.9596061706543,31.0875911712646,37.2765579223633,28.3090076446533,32.2074851989746,23.7415142059326,22.0718975067139,37.0853538513184,27.3726463317871,37.2414932250977,32.9414710998535,23.9328365325928,25,32.2383117675781,36.0125427246094,32.2889938354492,45.8837127685547,38.6733283996582,24,15,38.173210144043,33.5633850097656,31.3814296722412,19.0922870635986,37.0746002197266,31.8253078460693,16,26.088415145874,34.5783500671387,23.0241184234619
" AL_Montgomery_01101",39.2255783081055,42.3313102722168,53.3424415588379,34.9771690368652,37.7068824768066,36.6327781677246,28.9999980926514,22.7949180603027,33,33.9385986328125,31.4546184539795,36.7565574645996,32.7638359069824,41.4054756164551,33,34.8670501708984,24.1511344909668,36,38.0542526245117,29.933572769165,42.5194931030273,38,36.4048233032227,24.9999980926514,35,37.9753379821777,38.8419189453125,52.1602325439453,43.1150550842285,25.435474395752,16.855899810791,44.3372650146484,37.4354629516602,32.8876037597656,19.0474014282227,41.468074798584,36,16.9820289611816,26.5857410430908,38.2334365844727,24.9999980926514
" AL_Dallas_01047",43.9131393432617,43.5023231506348,53.9044609069824,35.612190246582,39.394588470459,37.958984375,29.2675285339355,22.900218963623,33.1813125610352,33.9586791992188,31.7821636199951,37.2526054382324,34.5660591125488,42.049732208252,32.8847236633301,35.4584808349609,24.0477142333984,34.1195602416992,40.1089134216309,29.7394256591797,45.1691513061523,42.8021469116211,38.1604499816895,25.2050476074219,36.0465278625488,38,38.59033203125,54.8781814575195,44.9061279296875,24.9746208190918,22.1557712554932,49.1083450317383,40.4324073791504,33.5399017333984,19.5794277191162,41.5483589172363,36,22.692066192627,27.9647407531738,39.3623847961426,25.1401767730713
" AL_Escambia_01053",35.3235054016113,36.1724395751953,42.289966583252,30.8392868041992,33.2105140686035,29.5512504577637,20.0020370483398,22.0914211273193,31.4035778045654,32.9885025024414,27.4955806732178,32.9670753479004,29.7517395019531,35.846981048584,29.0018196105957,31.5608615875244,23.0667514801025,21.0492496490479,35.9225311279297,27.1022357940674,37.5716018676758,32.049633026123,21.0574684143066,24.1768569946289,31.3106784820557,34.734691619873,30.4984264373779,46.5860862731934,38.5502319335938,24,15.681526184082,38.2752990722656,32.8287010192871,31.9520816802979,18.9497776031494,37,30.9212379455566,16,25.4705905914307,34.3634986877441,21.4456119537354
" AL_Pike_01109",39.0490036010742,39.1642227172852,44.257984161377,31.9126396179199,36.1515884399414,35.3148612976074,27.1236400604248,22.4112548828125,33.0080223083496,33.8815765380859,31.2242603302002,38.0387687683105,32.5016098022461,38.5049057006836,32.686279296875,34.6238136291504,24.1303615570068,34.0532302856445,37.7557182312012,29.0377902984619,39.8273582458496,35.6470527648926,33.6198806762695,25,34.3361625671387,37.3564910888672,35.0136222839355,51.0825119018555,42.7601165771484,24.5725002288818,15.0664386749268,42.6126251220703,34.3104553222656,31.4385890960693,19.1618709564209,39.0892143249512,35.2164916992188,16.6344051361084,26.1735343933105,35.4549674987793,24.9625415802002
" AL_Shelby_01117",49.3917617797852,46.2060050964355,56.0221481323242,36.3536567687988,43.3503494262695,43.3355598449707,29.9823303222656,23.8318214416504,36.0112800598145,37.8865013122559,33.0755882263184,42.3418388366699,45.7451820373535,47.6536827087402,38.0930557250977,43.0018501281738,25.21217918396,44.8948707580566,44.7649536132812,30.6479377746582,48.3249931335449,47.2148323059082,39.0044746398926,27.0000019073486,45.7857093811035,38.382194519043,43.3984718322754,59.6658020019531,50.0472297668457,27.440860748291,26.3188514709473,52.2703628540039,48.0571250915527,35.1410522460938,20.1635227203369,42.9654884338379,36.8554801940918,26.0984840393066,34.1043128967285,40.1712913513184,30.20680809021
" AL_Elmore_01051",42.8000946044922,43.7853355407715,54.193286895752,35.812686920166,39.5213203430176,41.6464653015137,29.2923545837402,23.2968406677246,33.6476364135742,34.2813911437988,32.4595527648926,39.5594863891602,36.8497352600098,44.4041481018066,33.4017715454102,37.1012191772461,24.7944145202637,39.8576545715332,41.9328842163086,30.0362167358398,45.6308326721191,41.9828987121582,38.9135894775391,25.4146614074707,36.2617530822754,37.9712677001953,39.2792701721191,55.5761604309082,46.848819732666,25.9962520599365,22.0335273742676,47.5520858764648,42.1185646057129,33.971305847168,20.4843864440918,42.0327835083008,36.3316307067871,21.5112400054932,28.9656867980957,39.1540374755859,26.3994960784912
" AL_Tallapoosa_01123",49.1991348266602,45.1542129516602,55.5456123352051,36.7756271362305,43.2522430419922,43.898193359375,29.9326705932617,24.7770442962646,34.1882133483887,36.3534317016602,33.1872215270996,42.4883232116699,42.9098358154297,46.2707214355469,36.3142852783203,40.1989212036133,26.0320987701416,44.7090873718262,45.5356254577637,30.8507518768311,48.2529144287109,45.6863098144531,39.9509696960449,26.4948215484619,45.6898651123047,39.4199409484863,40.0653686523438,60.3964004516602,49.4015426635742,27.7604751586914,25.5088520050049,50.5994491577148,47.1669158935547,35.1559982299805,21.0058765411377,42.7696838378906,37.1355361938477,28.3822631835938,35.8657302856445,40.4132461547852,28.9229640960693
" AL_Jackson_01071",59.6961364746094,63.5144500732422,64.2562484741211,49.8058052062988,57.8944931030273,64.270149230957,37.9756202697754,35.506534576416,45.6208000183105,49.3891258239746,46.0932655334473,56.2745246887207,56.0231857299805,57.5087623596191,51.7083511352539,51.0057754516602,38.6686592102051,48.5235557556152,53.4398994445801,43.1779518127441,63.0854835510254,60.0538635253906,43.9324722290039,44.4595680236816,58.9262847900391,57.0536117553711,56.9302864074707,73.0501327514648,56.7318496704102,39.5657997131348,60.4978179931641,68.2076187133789,69.967643737793,59.8147277832031,32.6762657165527,48.3628349304199,41.6100578308105,38.213020324707,57.8763198852539,57.2185821533203,38.9714088439941
